track,artist,album,uri,times_played
____45_____,Bon Iver,"22, A Million",spotify:track:14iePHBA4OZzeMp0gtMehM,2
...Familiar Place,Lucy Dacus,No Burden,spotify:track:0lp0bQqzyLmNNHHFYRaaJf,2
...goingtohell,Miguel,Wildheart (Deluxe Version),spotify:track:16HxWY98myiCVwLoRqi7KT,6
...goingtohell,Miguel,Wildheart,spotify:track:615BcAA3hZsfTmTlxy6oT7,6
.Bound,Casper The Ghost,.Bound,spotify:track:6HK2GAhQamhUs9qN73sTeW,1
'Bout It (feat. Daniel James & Benjamin O),Jeremy Zucker,Breathe,spotify:track:0AIL1m3mlMi98wKOaJ7uoG,3
'Cause I'm A Man,Tame Impala,Currents,spotify:track:2O99aywAVBhaPrsiJ6zbSS,1
'Til It's Over,Anderson .Paak,'Til It's Over,spotify:track:0zYkf4pCiGAhEp5Z3iUkml,1
(I Wanna Be A) Dumbcharger,Guided By Voices,Alien Lanes,spotify:track:1RAqkxB2J6ePzv2qyaBsms,1
(No One Knows Me) Like the Piano,Sampha,Process,spotify:track:5zOnoB8FdZudDcPX4O8WqF,5
&burn (with Vince Staples),Billie Eilish,&burn (with Vince Staples),spotify:track:7uX3gufAoBVqKVoD3dBLLD,1
• RIGHT NOW,Jazz Cartier,Right Now,spotify:track:1YldSxnPMZclOP5pRaiN0v,1
+44,Loyle Carner,Yesterday's Gone,spotify:track:2WrR0t3XT6U8xTV1PGvzpF,1
00000 Million,Bon Iver,"22, A Million",spotify:track:7BdtdBfrIufJOOCdA0CeJC,2
03' Adolescence,J. Cole,2014 Forest Hills Drive,spotify:track:4txn9qnwK3ILQqv5oq2mO3,8
1-800-273-8255,Logic,Everybody,spotify:track:5tz69p7tJuGPeMGwNTxYuV,2
"1, 2 Step (feat. Missy Elliott) - Don Candiani Reggaeton Mix",Ciara,DVD Bonus Audio (from Goodies. The Videos and More!),spotify:track:3x9LFpV6tzq0qWaBMvY2UT,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",spotify:track:4QtiVmuA88tPQiCOHZuQ5b,1
10 Bands,Drake,If You're Reading This It's Too Late,spotify:track:12d5QFwzh60IIHlsSnAvps,1
10 d E A T h b R E a s T ⚄ ⚄,Bon Iver,"22, A Million",spotify:track:4Bb9UvyIN5lEYThNwxDIQE,2
10-20-40,Rina Sawayama,RINA,spotify:track:3rq5nDt1KD6V2rE52s7gxt,1
"10,000 Hours",Ella Mai,CHANGE,spotify:track:6d1fGqMtdUEuHqFSDMlR0N,1
10:15 Saturday Night - 2005 Remaster,The Cure,Three Imaginary Boys,spotify:track:0jrRDpGv6FFizspjJJoH5i,1
10:37,Beach House,Depression Cherry,spotify:track:4RGbULF7N4dvC01DCiXmRp,3
100 Grandkids,Mac Miller,GO:OD AM,spotify:track:4z0PnuB07fxtVZZRWsCfxb,11
1000,N.E.R.D,NO ONE EVER REALLY DIES,spotify:track:6epMDLTE0OtSEZeLziJyQm,1
123,Girlpool,Powerplant,spotify:track:2QrMuaZUACwUpmIzmqRE9l,1
123 (with Murda Beatz),Smokepurpp,123 (with Murda Beatz),spotify:track:2xCzUIQwX5Y3wEFJnHoc3J,1
143,Musiq Soulchild,Aijuswanaseing,spotify:track:0fqKsU4Hsnb0oKlyjat9da,1
15 Step,Radiohead,In Rainbows,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,6
1539 N. Calvert,JPEGMAFIA,Veteran,spotify:track:6ZWYN5GsObNdeT6K3j3V5E,20
1899-12-31 02:45:00,Elliott Smith,Either/Or,spotify:track:0slNmVeSKrqQspVDxsOtdG,1
1950,King Princess,1950,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,1
1985 - Intro to “The Fall Off”,J. Cole,KOD,spotify:track:7EulRO07ZgchxqKUHb8Pvc,2
1999 (feat. Lloyd),Big K.R.I.T.,4eva Is A Mighty Long Time,spotify:track:7dveZsk7FG3K9uHCpUOh5A,28
1Day (feat. Ugly God),PnB Rock,Catch These Vibes,spotify:track:1owDiGS4Kcl3MQJ8LnfrVT,1
1Train,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),spotify:track:7AijU6oTPGmG64uWf63Qvc,2
2,H.E.R.,H.E.R.,spotify:track:2YyNFk4HBKXrqgsvPDNJtO,1
2 Da Moon,Towkio,WWW.,spotify:track:0pvaCjQatYOZ535xCaP0TI,6
2 Da Moon,Towkio,WWW.,spotify:track:2TghmeQSt5nZNml4c82DWA,6
20 Something,SZA,Ctrl,spotify:track:4h6ViRoztTBpWcJ1zFT9Zg,3
21 M◊◊N WATER,Bon Iver,"22, A Million",spotify:track:3mAyjnYIWLeDixdNO6Joz6,2
22 (OVER S∞∞N),Bon Iver,"22, A Million",spotify:track:5oK98mpTJSU0iqLHN1hZ3y,7
23,Rejjie Snow,Dear Annie,spotify:track:6Km73Tlvi4yS2e4XaIuXek,3
24 Hours,Knox Fortune,Paradise,spotify:track:6EZ1Row0FVGVrTpvNmsqVo,3
29 #Strafford APTS,Bon Iver,"22, A Million",spotify:track:4VZM71F8XAoLRuNyNLxwWS,5
3.214,Madvillain,Madvillainy 2: The Madlib Remix,spotify:track:0f4g2DEM4CKzyOGCWKRMmL,4
3005,Childish Gambino,Because The Internet,spotify:track:3Z2sglqDj1rDRMF5x0Sz2R,4
33 “GOD”,Bon Iver,"22, A Million",spotify:track:1LfWibYjk0TD8YNPtzym9A,6
4 AM,2 Chainz,Pretty Girls Like Trap Music,spotify:track:1nX9KhK3Fff27SnrIor2Yb,3
4 Days,Belly,4 Days,spotify:track:5tpEGhK123kgPf7pWWE9g6,4
4 Gold Chains - (feat. Clams Casino),Lil Peep,4 Gold Chains,spotify:track:2PlrYKsGndAMJ0qqVVPCoV,1
4 Leaf Clover (feat. Steve Lacy),Ravyn Lenae,Crush EP,spotify:track:1To829onYmL63wLNtU7Zm8,1
4 Minute Rain,Rain Sound Studio,35 Pure Calming Rains,spotify:track:0mRShoBMYwt5oTnAmpYDhX,1
4 Your Eyez Only,J. Cole,4 Your Eyez Only,spotify:track:1vvnYpYEMVB4aq9I6tHIEB,1
44 More,Logic,44 More,spotify:track:6iyp6udVpLuq3MCUulZT4h,13
44 More,Logic,Bobby Tarantino II,spotify:track:3e7Y6sfFlIdBMJhX7wpqVO,13
4422,Drake,More Life,spotify:track:2fkeWbM6iqTw7oGHTYm2lw,26
45 with Sam,808INK,Hungry,spotify:track:5FDSKbAgDxrR8dfEv7tfwO,6
4EVER,Clairo,4EVER,spotify:track:5mIOsPuQdXchVY0jB5NO9Q,13
4r Da Squaw,Isaiah Rashad,The Sun's Tirade,spotify:track:71lyUtIPCMAYjTwwwxy2jW,1
4th Chamber,El Michels Affair,Return to the 37th Chamber,spotify:track:3VyLyZUxTMR49aGyMIJYKH,1
4u,blackbear,deadroses,spotify:track:1XcXhu1X0xBFMDFyq0b7Ue,2
4US Ranch,Jelani Aryeh,Suburban Destinesia,spotify:track:7EMQSZncpJIctmrYAlIlo8,9
