track,artist,album,times_played
____45_____,Bon Iver,"22, A Million",2
...Familiar Place,Lucy Dacus,No Burden,2
...goingtohell,Miguel,Wildheart,6
...goingtohell,Miguel,Wildheart (Deluxe Version),6
.Bound,Casper The Ghost,.Bound,1
'Bout It (feat. Daniel James & Benjamin O),Jeremy Zucker,Breathe,3
'Cause I'm A Man,Tame Impala,Currents,1
'Til It's Over,Anderson .Paak,'Til It's Over,1
(I Wanna Be A) Dumbcharger,Guided By Voices,Alien Lanes,1
(No One Knows Me) Like the Piano,Sampha,Process,5
&burn (with Vince Staples),Billie Eilish,&burn (with Vince Staples),1
• RIGHT NOW,Jazz Cartier,Right Now,1
+44,Loyle Carner,Yesterday's Gone,1
00000 Million,Bon Iver,"22, A Million",2
03' Adolescence,J. Cole,2014 Forest Hills Drive,8
1-800-273-8255,Logic,Everybody,2
"1, 2 Step (feat. Missy Elliott) - Don Candiani Reggaeton Mix",Ciara,DVD Bonus Audio (from Goodies. The Videos and More!),1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1
10 Bands,Drake,If You're Reading This It's Too Late,1
10 d E A T h b R E a s T ⚄ ⚄,Bon Iver,"22, A Million",2
10-20-40,Rina Sawayama,RINA,1
"10,000 Hours",Ella Mai,CHANGE,1
10:15 Saturday Night - 2005 Remaster,The Cure,Three Imaginary Boys,1
10:37,Beach House,Depression Cherry,3
100 Grandkids,Mac Miller,GO:OD AM,11
1000,N.E.R.D,NO ONE EVER REALLY DIES,1
123,Girlpool,Powerplant,1
123 (with Murda Beatz),Smokepurpp,123 (with Murda Beatz),1
143,Musiq Soulchild,Aijuswanaseing,1
15 Step,Radiohead,In Rainbows,6
1539 N. Calvert,JPEGMAFIA,Veteran,20
1899-12-31 02:45:00,Elliott Smith,Either/Or,1
1950,King Princess,1950,1
1985 - Intro to “The Fall Off”,J. Cole,KOD,2
1999 (feat. Lloyd),Big K.R.I.T.,4eva Is A Mighty Long Time,28
1Day (feat. Ugly God),PnB Rock,Catch These Vibes,1
1Train,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),2
2,H.E.R.,H.E.R.,1
2 Da Moon,Towkio,WWW.,6
20 Something,SZA,Ctrl,3
21 M◊◊N WATER,Bon Iver,"22, A Million",2
22 (OVER S∞∞N),Bon Iver,"22, A Million",7
23,Rejjie Snow,Dear Annie,3
24 Hours,Knox Fortune,Paradise,3
29 #Strafford APTS,Bon Iver,"22, A Million",5
3.214,Madvillain,Madvillainy 2: The Madlib Remix,4
3005,Childish Gambino,Because The Internet,4
33 “GOD”,Bon Iver,"22, A Million",6
4 AM,2 Chainz,Pretty Girls Like Trap Music,3
4 Days,Belly,4 Days,4
4 Gold Chains - (feat. Clams Casino),Lil Peep,4 Gold Chains,1
4 Leaf Clover (feat. Steve Lacy),Ravyn Lenae,Crush EP,1
4 Minute Rain,Rain Sound Studio,35 Pure Calming Rains,1
4 Your Eyez Only,J. Cole,4 Your Eyez Only,1
44 More,Logic,Bobby Tarantino II,13
44 More,Logic,44 More,13
4422,Drake,More Life,26
45 with Sam,808INK,Hungry,6
4EVER,Clairo,4EVER,13
4r Da Squaw,Isaiah Rashad,The Sun's Tirade,1
4th Chamber,El Michels Affair,Return to the 37th Chamber,1
4u,blackbear,deadroses,2
4US Ranch,Jelani Aryeh,Suburban Destinesia,9
500 Benz,Joey Bada$$,500 Benz,3
54-46 Was My Number,The Maytals,The Best of The Maytals,1
6 Foot 7 Foot,Lil Wayne,Tha Carter IV,19
6 God,Drake,If You're Reading This It's Too Late,1
6 Man,Drake,If You're Reading This It's Too Late,1
666 ʇ,Bon Iver,"22, A Million",4
7/11,Beyoncé,BEYONCÉ [Platinum Edition],6
715 - CR∑∑KS,Bon Iver,"22, A Million",3
745,Vince Staples,Big Fish Theory,3
8 (circle),Bon Iver,"22, A Million",4
80s,Berhana,Berhana,2
8TEEN,Khalid,American Teen,1
91 Cadillac DeVille,Injury Reserve,Drive It Like It's Stolen,1
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",Flower Boy,6
911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator",Who Dat Boy / 911,6
93 'Til Infinity,Souls Of Mischief,93 'til Infinity,1
95 Till Infinity,Joey Bada$$,Summer Knights,1
A (Demo) Heart Like Hers,Mac DeMarco,Another (Demo) One,3
a beautiful exit,Miguel,Wildheart,4
A Case of You,Joni Mitchell,Blue,2
A Case Of You,James Blake,Enough Thunder,1
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1
A Cool Blessing,Chicano Batman,Cycles of Existential Rhyme,2
A Dark Knight,Hans Zimmer,The Dark Knight (Original Motion Picture Soundtrack),1
A Day In The Life - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,2
A Good Flying Bird,Guided By Voices,Alien Lanes,1
A House Is Not a Home,Dionne Warwick,The Dionne Warwick Collection: Her All-Time Greatest Hits,5
A Lie (feat. The Weeknd & Max B),French Montana,A Lie (feat. Max B),1
A Little While,Yellow Days,Harmless Melodies,22
A Lizard State,King Krule,6 Feet Beneath The Moon,1
A Lonely Night,The Weeknd,Starboy,3
A Mask of My Own Face,Lemon Demon,Nature Tapes,1
A Milli,Lil Wayne,Tha Carter III,7
A Minha Menina,Os Mutantes,"""Os Mutantes""",11
A Name,John Frusciante,Curtains,1
A Pesar La Vida,Ocote Soul Sounds,A Pesar La Vida / Not Yet,1
A Salty Salute,Guided By Voices,Alien Lanes,1
A Simple Game,Billy Ocean,Here You Are: The Music of My Life,1
A Slide In (New Drugs),King Krule,The OOZ,1
A Spoonful Weighs a Ton - 2017 Remaster,The Flaming Lips,The Soft Bulletin,1
A Tale of 2 Citiez,J. Cole,2014 Forest Hills Drive,19
A Tale of 2 Citiez - Live,J. Cole,"Forest Hills Drive: Live from Fayetteville, NC",1
A Wolf Who Wears Sheeps Clothes,Mac DeMarco,This Old Dog,9
A.B.C. Rocksteady,Gladstone Anderson,Glad Sounds (feat. Lynn Taitt & The Jets),1
A.D.H.D,Kendrick Lamar,Section.80,4
a.r.,mindbody&beats,sundays. [EP],3
A.T.H.F. (Aqua Teen Hunger Force),DANGERDOOM,The Mouse and The Mask,2
A$AP Forever (feat. Moby),A$AP Rocky,A$AP Forever (feat. Moby),12
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",A$AP Rocky,TESTING,12
About You,G Flip,About You,1
Absent,Yuutsu,Petrichor,2
Accordion,Madvillain,Madvillainy,1
Accordion (Four Tet Remix),Madvillain,Four Tet Remixes,1
Acquainted,The Weeknd,Beauty Behind The Madness,2
Across The Multiverse (feat. Frankie Cosmos),Dent May,Across The Multiverse,1
Across The Universe - Remastered 2009,The Beatles,Let It Be,2
Acting,Ariel Pink,Dedicated To Bobby Jameson,4
Activated,Cher Lloyd,Activated,1
Adeus Maria Fulô,Os Mutantes,"""Os Mutantes""",2
admire,eevee,ep seeds,1
Adorn,Miguel,Kaleidoscope Dream,8
Affection,Cigarettes After Sex,Affection,1
Afro-Harping,Dorothy Ashby,Afro-Harping,1
After School Club,Cosmo Pyke,Just Cosmo,1
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,Isolation,43
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",43
After Thoughts,Oddisee,The Beauty in All,2
Again,Slow Hollows,Romantic,2
Agony,Yung Lean,Stranger,2
Agoraphobia,Deerhunter,Microcastle,26
Agricultural Revolution,Kamal Keila,Agricultural Revolution / Al Asafir,1
Agrimony,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",1
Agua,Saweetie,High Maintenance,1
Aguanile,Willie Colón,The Original Gangster,1
Ain't it Funny,Danny Brown,Atrocity Exhibition,7
Ain't No Mountain High Enough,Marvin Gaye,United,1
Ain't Nothing Changed,Loyle Carner,Yesterday's Gone,6
Ain't Nothing Like The Real Thing,Marvin Gaye,You're All I Need,1
aisatsana [102],Aphex Twin,Syro,1
Akula Owu Onyeara,The Funkees,"Dancing Time, the Best of Eastern Nigeria's Afro Rock Exponents 1973-77",3
Alameda,Elliott Smith,Either/Or,2
ALASKA,BROCKHAMPTON,SATURATION III,4
Albedo,invention_,Chillhop Essentials Winter 2017,2
Alech,Carthago,Alech (Habibi Funk 004),1
"Alegria, Alegria - Remastered 2006",Caetano Veloso,Caetano Veloso,5
Alex,Roy Blair,Cat Heaven,14
Alive (with Offset & 2 Chainz),Lil Jon,Alive (with Offset & 2 Chainz),1
All About Me,Syd,Fin,4
All Alone,Gorillaz,Demon Days,1
All Apologies - Original Steve Albini 1993 Mix,Nirvana,In Utero,2
All Blue,G Perico,All Blue,2
All Caps,Madvillain,Madvillainy,2
All I C Is U & Me,Death From Above 1979,Outrage! Is Now,1
All I Do Is Think Of You,The Jackson 5,Moving Violation,10
All I Need,Radiohead,In Rainbows,1
All I Want,Brent Faiyaz,Sonder Son,31
All I Want Is You (feat. J. Cole),Miguel,All I Want Is You,4
All Me,Drake,Nothing Was The Same,21
All Night (feat. Knox Fortune),Chance the Rapper,Coloring Book,8
All Night Long,Mary Jane Girls,20th Century Masters: The Millennium Collection: Best of The Mary Jane Girls,9
All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,1
All of You - Track Commentary,Betty Who,Take Me When You Go - Track by Track Commentary,1
All Spice,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",2
All That (feat. Twista & The Rej3ctz),Dillon Francis,"Money Sucks, Friends Rule",2
All That We Need Is Love,Alton Ellis,Entering the Dragon,1
All the Critics Love U in New York,Prince,1999,1
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,41
All The Stars (with SZA),Kendrick Lamar,All The Stars (with SZA),41
All The Time,Jeremih,All The Time,1
Alley 3/4,Tomppabeats,Arcade,1
Alltypeofchnces,NxWorries,Yes Lawd! Remixes,7
Alltypeofchnces,NxWorries,Yes Lawd!,7
Allusions,The Underachievers,Evermore: The Art Of Duality,1
Alone Again (Naturally),Gilbert O'Sullivan,Back to Front,2
Already (feat. SiR),Anderson .Paak,Venice,58
Alright,Kendrick Lamar,To Pimp A Butterfly,5
"Also sprach Zarathustra, Op. 30, TrV 176: Prelude (Sonnenaufgang)",Richard Strauss,"Strauss, R.: Also sprach Zarathustra; Till Eulenspiegel; Don Juan; Salome's Dance Of The Seven Veils",1
Altadena,Kelela,Take Me Apart,1
Alterlife,Rina Sawayama,RINA,1
